[7.192171894885121, 26.95747265186524];{'POR5': 0.0625}
[1.6658956247116943, 36.215222000070874];{'ECOAH2': 0.125, 'ENO': 0.25, 'CYTK1': 0, 'FADRx': 2}
[4.531093676994485, 28.163585079382784];{'ECOAH2': 0.125, 'FADRx': 8, 'G3PD2': 8}
[2.546991563791537, 35.69078382721604];{'ENO': 0.25}
[5.6483311424027915, 27.671155018505083];{'FADRx': 4, 'ECOAH2': 0.25, 'PGCD': 4}
[5.956629236515218, 27.53124293449395];{'ECOAH2': 0.25, 'FADRx': 4}
[2.070889088795604, 35.992052476435745];{'ENO': 0.25, 'HACD2': 16, 'G3PD2': 0.125}
[1.8253690798925692, 36.140223108802545];{'CYTK1': 16, 'HACD2': 16, 'ENO': 0.25}
[1.8211986878573305, 36.14290996739237];{'FADRx': 8, 'ENO': 0.25}
[1.669069081449883, 36.21224482169673];{'ECOAH2': 0.125, 'ENO': 0.25, 'FADRx': 2}
[2.19766010348389, 35.9176045653645];{'G3PD2': 0.03125, 'FADRx': 4, 'ENO': 0.25}
[2.071508728854692, 35.988212977546134];{'ENO': 0.25, 'HACD2': 16}
[2.3143034712274195, 35.83702220154422];{'ECOAH2': 8, 'ENO': 0.25}
[2.4845767159639043, 35.731316142803685];{'CYTK1': 0, 'ENO': 0.25, 'ECOAH2': 2}
[6.633647438991447, 27.221091205311836];{'FADRx': 4, 'G3PD2': 32}
[2.5360760507958267, 35.69876905337724];{'CYTK1': 0, 'ENO': 0.25}
[5.902639388249622, 27.554132945803225];{'FADRx': 4, 'ECOAH2': 0.125, 'POR5': 0.0625}
[6.562659895618755, 27.25265853337496];{'POR5': 0.0625, 'FADRx': 0.5, 'HACD2': 16}
[6.709882541420728, 27.18524967392697];{'G3PD2': 16, 'HACD2': 16}
[6.65706091206345, 27.20927261082957];{'HACD2': 16, 'ACOAD5f': 0.25, 'G3PD2': 16}
[6.686855242241967, 27.195454109223114];{'ACOAD5f': 0.25, 'FADRx': 8}
[6.718184028896703, 27.180352808938885];{'ECOAH2': 0.125, 'ACOAD5f': 0, 'G3PD2': 4, 'FADRx': 2}
[6.778916117714381, 27.152759540041423];{'CYTK1': 0, 'ECOAH2': 16, 'G3PD2': 8}
[7.174773653080442, 26.966039055620996];{'G3PD2': 2}
[7.098117856133022, 27.00166813909415];{'CYTK1': 0, 'FADRx': 0}
[6.975899436649654, 27.05963676579788];{'ECOAH2': 8, 'ACOAD5f': 0.125}
[7.060836568345973, 27.017719941470077];{'POR5': 0.0625, 'HACD2': 0.125}
[6.837776733795813, 27.12380773486221];{'ACOAD5f': 0.25, 'POR5': 0.0625, 'HACD2': 16}
[6.468484490234388, 27.296777210584246];{'ACOAD5f': 0.0625, 'HACD2': 16, 'G3PD2': 2, 'FADRx': 0}
[6.965091576735425, 27.065476908486268];{'ECOAH2': 8, 'G3PD2': 8}
[7.1409671591758, 26.98160905672217];{'CYTK1': 0, 'POR5': 0.0625, 'G3PD2': 0.25, 'ECOAH2': 2}
[7.130721915127152, 26.987401822924];{'POR5': 0.0625, 'FADRx': 2}
[7.110711750775438, 26.996247596044547];{'POR5': 0.0625, 'G3PD2': 8}
[7.031001616895548, 27.03327994456904];{'ACOAD5f': 0, 'G3PD2': 4, 'FADRx': 0}
[7.157800910447874, 26.97379881385202];{'CYTK1': 0}
[6.861282153634034, 27.114042954486386];{'CYTK1': 0, 'HACD2': 16}
[7.146295340508884, 26.97935321546977];{'CYTK1': 0, 'G3PD2': 2}
[6.644205814107195, 27.215993009852994];{'ACOAD5f': 0.25, 'FADRx': 4, 'PGCD': 4}
[6.810400320836179, 27.137491424011042];{'ACOAD5f': 0.0625, 'HACD2': 16}
[6.481299059103725, 27.29076372390949];{'ECOAH2': 16, 'ACOAD5f': 0.0625, 'FADRx': 0}
[6.7541597618028915, 27.164762739513723];{'FADRx': 8}
[6.493175181362423, 27.28479628823534];{'CYTK1': 0, 'ECOAH2': 0.125, 'FADRx': 2}
[6.74633311767696, 27.16829836642401];{'FADRx': 8, 'G3PD2': 2, 'POR5': 0.0625}
[2.5461181566903512, 35.69681308508279];{'ENO': 0.25, 'G3PD2': 0.125}
[6.490685044510199, 27.285924000419065];{'CYTK1': 0, 'ECOAH2': 0.125, 'G3PD2': 0.25, 'FADRx': 2}
[2.4941836423658446, 35.72941953352721];{'ENO': 0.25, 'ECOAH2': 2, 'G3PD2': 0.125}
[7.082728814998134, 27.009128961769292];{'CYTK1': 0, 'POR5': 0.0625, 'G3PD2': 8}
